what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.print",1515937614050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937614909
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515937614999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937616129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1515937622554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937623430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937640077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937641157
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515937641253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937643737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1515937648042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937649671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937656042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937660602
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515937660698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937661872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937665276
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515937665367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937667448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937687626
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515937687718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937690078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937690873
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515937690961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937692343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937733741
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515937733833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937735480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937751584
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515937751675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937754271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937799263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937829176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1515937845824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937846830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937862923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937863976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937895964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937897140
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515937897228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937898799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1515937928320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937929277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937956894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937959221
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1515937959308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515937963157
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1515938451910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515938844954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515938847728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515939030263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515939032262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515939033346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515939034098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515940207037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515940271158
